fetched_at_utc,date,value,classification
2026-05-05T22:18:40+00:00,2026-05-05,50,Neutral
2026-05-05T22:24:55+00:00,2026-05-05,50,Neutral
2026-05-06T10:31:24+00:00,2026-05-06,46,Fear
2026-05-07T10:38:46+00:00,2026-05-07,47,Neutral
2026-05-08T10:00:21+00:00,2026-05-08,38,Fear
2026-05-09T09:50:42+00:00,2026-05-09,38,Fear
2026-05-10T09:51:09+00:00,2026-05-10,47,Neutral
2026-05-11T11:40:31+00:00,2026-05-11,48,Neutral
2026-05-12T10:45:52+00:00,2026-05-12,49,Neutral
2026-05-13T11:03:00+00:00,2026-05-13,42,Fear
2026-05-14T10:40:41+00:00,2026-05-14,34,Fear
2026-05-15T10:42:59+00:00,2026-05-15,43,Fear
2026-05-16T09:54:20+00:00,2026-05-16,31,Fear
2026-05-17T10:05:56+00:00,2026-05-17,27,Fear
2026-05-18T11:57:19+00:00,2026-05-18,28,Fear
2026-05-19T11:37:13+00:00,2026-05-19,25,Extreme Fear
2026-05-20T11:25:10+00:00,2026-05-20,27,Fear
2026-05-21T11:42:58+00:00,2026-05-21,29,Fear
2026-05-22T11:22:34+00:00,2026-05-22,28,Fear
2026-05-23T10:10:29+00:00,2026-05-23,28,Fear
2026-05-24T10:16:30+00:00,2026-05-24,25,Extreme Fear
2026-05-25T12:02:20+00:00,2026-05-25,30,Fear
2026-05-27T11:52:23+00:00,2026-05-27,25,Extreme Fear
2026-05-28T11:55:13+00:00,2026-05-28,22,Extreme Fear
2026-05-29T11:44:11+00:00,2026-05-29,23,Extreme Fear
2026-05-30T10:21:24+00:00,2026-05-30,23,Extreme Fear
2026-05-31T10:28:31+00:00,2026-05-31,28,Fear
2026-06-01T14:30:09+00:00,2026-06-01,29,Fear
2026-06-02T12:23:23+00:00,2026-06-02,23,Extreme Fear
2026-06-03T12:53:28+00:00,2026-06-03,11,Extreme Fear
2026-06-04T11:28:14+00:00,2026-06-04,12,Extreme Fear
2026-06-05T11:40:21+00:00,2026-06-05,12,Extreme Fear
2026-06-06T10:28:26+00:00,2026-06-06,12,Extreme Fear
2026-06-07T10:39:18+00:00,2026-06-07,12,Extreme Fear
2026-06-08T12:44:22+00:00,2026-06-08,8,Extreme Fear
2026-06-09T11:36:35+00:00,2026-06-09,10,Extreme Fear
2026-06-10T11:50:58+00:00,2026-06-10,9,Extreme Fear
2026-06-11T12:26:00+00:00,2026-06-11,12,Extreme Fear
2026-06-12T11:56:43+00:00,2026-06-12,12,Extreme Fear
2026-06-13T10:43:00+00:00,2026-06-13,13,Extreme Fear
2026-06-14T11:11:52+00:00,2026-06-14,18,Extreme Fear
2026-06-15T14:41:14+00:00,2026-06-15,20,Extreme Fear
2026-06-16T13:09:22+00:00,2026-06-16,23,Extreme Fear
2026-06-17T12:33:51+00:00,2026-06-17,22,Extreme Fear
2026-06-18T12:03:30+00:00,2026-06-18,15,Extreme Fear
